Date,SPX,GLD,USO,SLV,EUR/USD,USD_INR,Interest_Rate,CPI
1/2/2008,1447.160034,84.860001,78.470001,15.18,1.471692,47.51718079172436,1.045832123684569,1.433787370773652
1/3/2008,1447.160034,85.57,78.370003,15.285,1.474491,48.31040687384409,1.0214220897962683,1.5136917980030502
1/4/2008,1411.630005,85.129997,77.309998,15.167,1.475492,48.55602009685979,0.9149565213616024,1.56827806327703
1/7/2008,1416.180054,84.769997,75.5,15.053,1.468299,48.27196818147527,0.9896021634375899,1.4224722778846728
1/8/2008,1390.189941,86.779999,76.059998,15.59,1.557099,47.91800244100379,0.8965405053182416,1.4919732456717572
1/9/2008,1409.130005,86.550003,75.25,15.52,1.466405,47.804204346677025,0.9137983035898019,1.5724490753786777
1/10/2008,1420.329956,88.25,74.019997,16.061001,1.4801,47.96263958718405,1.0159381016951594,1.506592423713004
1/11/2008,1401.02002,88.580002,73.089996,16.077,1.479006,47.63291013865598,0.9890245473520626,1.4502410331178184
1/14/2008,1416.25,89.540001,74.25,16.280001,1.4869,47.19534484462056,0.9485598883626626,1.6157976566229986
1/15/2008,1380.949951,87.989998,72.779999,15.834,1.48021,48.50659843402382,0.9277300860540018,1.5013580972566714
1/16/2008,1373.199951,86.699997,71.849998,15.654,1.466405,47.567744233543905,0.9421878907688087,1.5111866038710142
1/17/2008,1333.25,86.5,71.029999,15.717,1.464,48.92849928655722,1.0620776116921549,1.5023344244542651
1/18/2008,1325.189941,87.419998,71.540001,16.030001,1.461796,48.12684517215215,1.0796822882844164,1.4591905662948137
1/22/2008,1310.5,88.169998,70.550003,15.902,1.464794,48.05936136691776,1.0323890464192658,1.4609843424251507
1/23/2008,1338.599976,87.889999,69.5,15.9,1.463208,47.00587731046559,1.0144880142981836,1.526492571225556
1/24/2008,1352.069946,90.080002,70.93,16.299999,1.47741,46.89435987722109,0.9792695869318605,1.4837091899490342
1/25/2008,1330.609985,90.300003,71.910004,16.298,1.467502,47.967290281381686,0.9391392612591641,1.425205848165729
1/28/2008,1353.959961,91.75,72.349998,16.549999,1.478809,47.7553163015145,0.997949751073968,1.5167068105910122
1/29/2008,1362.300049,91.150002,72.980003,16.534,1.477192,47.697394128460935,1.0836505206115101,1.5109976834808674
1/30/2008,1355.810059,92.059998,73.080002,16.674999,1.483107,48.27398188730399,0.9902841956675382,1.3904227616165792
1/31/2008,1378.550049,91.400002,72.349998,16.818001,1.486503,48.182756130076285,1.047258099910023,1.5288815253819485
2/1/2008,1395.420044,89.349998,70.470001,16.618999,1.479991,47.87726921152446,1.0091095825635414,1.431094960050937
2/4/2008,1380.819946,89.099998,71.370003,16.514999,1.4828,49.43695770326786,1.1000671273664755,1.3984479767609326
2/5/2008,1336.640015,87.68,70.150002,16.167,1.463807,48.11795890945931,1.0236572502150763,1.384844372511533
2/6/2008,1326.449951,88.949997,69.019997,16.375,1.46171,47.8835568489693,1.0659973412030994,1.525774967609243
2/7/2008,1336.910034,89.849998,69.800003,16.67,1.44789,47.66744135975551,0.9762526723127528,1.4658735180824898
2/8/2008,1331.290039,91.0,72.900002,17.025999,1.557099,48.511938032719044,1.0545828795713093,1.4616881856672523
2/11/2008,1339.130005,91.330002,74.550003,17.4,1.4502,48.3419944643443,0.9845420510661831,1.4897012014599145
2/12/2008,1348.859985,89.330002,73.589996,17.033001,1.458194,48.98605060334383,1.0457934382056426,1.4701319060679856
2/13/2008,1367.209961,89.440002,74.110001,17.132,1.455604,48.22734248788881,0.989835069777418,1.478009286265799
2/14/2008,1348.859985,89.709999,75.760002,17.087,1.464408,47.89845821186945,0.9752892241924068,1.4904319305330382
2/15/2008,1349.98999,89.150002,75.93,16.952,1.46761,48.904360763165215,1.0778259078413714,1.4617697090766755
2/19/2008,1348.780029,91.580002,78.809998,17.378,1.472993,48.16222178660572,1.0621326698737261,1.5319287514303397
2/20/2008,1360.030029,93.239998,79.32,17.700001,1.472299,47.97519936826008,1.0160883672590106,1.5300111395667968
2/21/2008,1342.530029,93.25,77.330002,17.695999,1.481503,48.66996907159446,0.9761424864657166,1.5254399473368958
2/22/2008,1353.109985,93.389999,78.599998,17.916,1.482602,47.78459296606847,1.0409347768033792,1.3734353032889821
2/25/2008,1371.800049,92.739998,78.739998,17.99,1.483591,47.93901040964389,0.9987026425008428,1.4905610633525916
2/26/2008,1381.290039,93.709999,80.099998,18.6,1.49961,48.22368293069969,1.068229727006835,1.474323576242864
2/27/2008,1380.02002,94.779999,78.919998,19.132999,1.511807,47.95745992849361,1.0671727583630235,1.5134778736081678
2/28/2008,1367.680054,95.989998,81.480003,19.666,1.519595,48.20414864397857,1.0366763248637836,1.4942150992781198
2/29/2008,1330.630005,96.18,80.419998,19.667999,1.519203,48.35555544525977,1.0154984995721057,1.4496764690488808
3/3/2008,1331.339966,97.239998,81.32,20.163,1.520011,48.230840463294136,0.9267740868185332,1.4323756452425462
3/4/2008,1326.75,95.18,79.400002,19.620001,1.521005,47.47657538995096,1.0966155046752495,1.502243126675421
3/5/2008,1333.699951,97.720001,83.300003,20.621,1.527697,48.5672909348599,1.0786431026131797,1.4248787790049382
3/6/2008,1304.339966,96.5,83.889999,20.075001,1.538509,48.3647450224354,0.9827818628935703,1.4657452100761443
3/7/2008,1293.369995,96.089996,83.730003,20.040001,1.533601,47.253716171090176,0.9354777172359512,1.4931927411478056
